Date,Close,Open,High,Low,Volume,Fluctuation
20050421,943.98 ,948.86 ,955.55 ,938.60 ,9950.00 ,-0.0072 
20050422,939.10 ,942.91 ,947.91 ,934.96 ,10690.00 ,-0.0052 
20050425,930.07 ,935.99 ,935.99 ,920.16 ,11470.00 ,-0.0096 
20050426,937.08 ,928.43 ,939.70 ,924.65 ,11690.00 ,0.0075 
20050427,926.60 ,938.57 ,938.91 ,925.90 ,10780.00 ,-0.0112 
20050428,942.07 ,923.53 ,945.50 ,914.83 ,14340.00 ,0.0167 
20050429,932.39 ,940.81 ,942.45 ,929.81 ,11240.00 ,-0.0103 
20050509,909.17 ,934.65 ,937.39 ,909.17 ,8530.00 ,-0.0249 
20050510,913.08 ,905.54 ,913.39 ,892.31 ,10490.00 ,0.0043 
20050511,901.85 ,911.84 ,917.22 ,900.44 ,9040.00 ,-0.0123 
20050512,885.82 ,899.97 ,900.06 ,883.51 ,10230.00 ,-0.0178 
20050513,887.54 ,883.50 ,898.50 ,875.58 ,11250.00 ,0.0019 
20050516,875.27 ,885.39 ,885.39 ,869.33 ,8220.00 ,-0.0138 
20050517,881.46 ,873.08 ,888.28 ,868.21 ,8770.00 ,0.0071 
20050518,883.20 ,881.14 ,890.40 ,871.82 ,7880.00 ,0.0020 
20050519,884.17 ,882.84 ,888.02 ,871.29 ,8150.00 ,0.0011 
20050520,882.76 ,883.51 ,891.02 ,879.18 ,7230.00 ,-0.0016 
20050523,863.34 ,880.28 ,880.28 ,862.10 ,7280.00 ,-0.0220 
20050524,868.46 ,861.20 ,871.77 ,855.59 ,9210.00 ,0.0059 
20050525,868.45 ,867.66 ,876.30 ,861.66 ,7240.00 ,0.0000 
20050526,857.33 ,867.76 ,872.84 ,854.96 ,6620.00 ,-0.0128 
20050527,849.51 ,855.60 ,864.96 ,848.40 ,7750.00 ,-0.0091 
20050530,855.61 ,847.63 ,858.46 ,842.10 ,6970.00 ,0.0072 
20050531,855.95 ,856.56 ,863.20 ,853.29 ,7050.00 ,0.0004 
20050601,837.53 ,855.21 ,857.66 ,836.04 ,7900.00 ,-0.0215 
20050602,818.38 ,835.47 ,835.49 ,812.99 ,9510.00 ,-0.0229 
20050603,818.03 ,816.55 ,823.86 ,807.97 ,7940.00 ,-0.0004 
20050606,839.00 ,816.73 ,839.15 ,807.78 ,9010.00 ,0.0256 
20050607,837.28 ,841.58 ,858.09 ,835.18 ,13070.00 ,-0.0021 
20050608,905.77 ,848.54 ,908.83 ,844.47 ,32910.00 ,0.0818 
20050609,912.60 ,907.57 ,925.37 ,895.04 ,33140.00 ,0.0075 
20050610,894.56 ,911.94 ,911.94 ,889.10 ,22390.00 ,-0.0198 
20050613,892.96 ,895.00 ,900.18 ,877.69 ,15630.00 ,-0.0018 
20050614,883.54 ,895.39 ,905.41 ,882.86 ,14340.00 ,-0.0105 
20050615,866.83 ,881.21 ,881.25 ,865.14 ,11450.00 ,-0.0189 
20050616,879.24 ,866.66 ,879.49 ,861.83 ,11050.00 ,0.0143 
20050617,880.35 ,883.61 ,888.08 ,876.04 ,14960.00 ,0.0013 
20050620,906.25 ,881.62 ,906.48 ,872.56 ,18990.00 ,0.0294 
20050621,896.17 ,906.31 ,906.31 ,894.39 ,12780.00 ,-0.0111 
20050622,900.65 ,894.77 ,901.24 ,891.93 ,10480.00 ,0.0050 
20050623,893.57 ,900.06 ,904.90 ,892.83 ,9510.00 ,-0.0079 
20050624,898.30 ,892.06 ,898.67 ,888.40 ,8920.00 ,0.0053 
20050627,916.04 ,904.21 ,920.65 ,904.21 ,16550.00 ,0.0197 
20050628,903.72 ,913.48 ,913.48 ,901.21 ,10400.00 ,-0.0134 
20050629,898.90 ,906.75 ,907.57 ,898.08 ,10810.00 ,-0.0053 
20050630,878.69 ,897.10 ,897.10 ,876.88 ,10860.00 ,-0.0225 
20050701,859.49 ,875.93 ,875.93 ,858.37 ,10100.00 ,-0.0219 
20050704,855.93 ,855.32 ,856.10 ,842.81 ,8840.00 ,-0.0041 
20050705,849.68 ,853.68 ,856.74 ,845.36 ,7990.00 ,-0.0073 
20050706,842.56 ,850.25 ,854.45 ,838.61 ,6900.00 ,-0.0084 
20050707,844.73 ,841.75 ,848.02 ,839.28 ,5960.00 ,0.0026 
20050708,829.49 ,842.62 ,842.62 ,827.23 ,7220.00 ,-0.0180 
20050711,824.10 ,837.86 ,850.66 ,822.52 ,8440.00 ,-0.0065 
20050712,851.82 ,821.91 ,854.29 ,818.86 ,14990.00 ,0.0336 
20050713,846.23 ,850.47 ,851.95 ,841.86 ,9400.00 ,-0.0066 
20050714,849.59 ,844.94 ,856.10 ,843.18 ,9360.00 ,0.0040 
20050715,841.00 ,849.87 ,854.60 ,837.78 ,8890.00 ,-0.0101 
20050718,833.00 ,839.22 ,840.00 ,829.68 ,8500.00 ,-0.0095 
20050719,835.61 ,831.50 ,840.14 ,829.28 ,7890.00 ,0.0031 
20050720,842.64 ,835.30 ,844.71 ,832.14 ,8530.00 ,0.0084 
20050721,843.99 ,842.75 ,843.99 ,835.76 ,8370.00 ,0.0016 
20050722,859.69 ,847.54 ,867.16 ,842.99 ,21320.00 ,0.0186 
20050725,856.86 ,858.33 ,860.95 ,854.28 ,11820.00 ,-0.0033 
20050726,876.48 ,856.19 ,880.03 ,856.19 ,21830.00 ,0.0229 
20050727,894.01 ,876.94 ,894.03 ,876.04 ,20410.00 ,0.0200 
20050728,890.88 ,893.88 ,901.00 ,888.50 ,20620.00 ,-0.0035 
20050729,888.16 ,889.41 ,892.29 ,883.38 ,13400.00 ,-0.0031 
20050801,891.61 ,887.72 ,897.28 ,885.85 ,11810.00 ,0.0039 
20050802,903.60 ,892.13 ,903.65 ,888.40 ,14290.00 ,0.0134 
20050803,909.57 ,905.18 ,919.28 ,903.76 ,25790.00 ,0.0066 
20050804,904.15 ,907.42 ,909.83 ,901.62 ,14520.00 ,-0.0060 
20050805,923.80 ,904.04 ,923.81 ,903.94 ,19120.00 ,0.0217 
20050808,927.47 ,926.57 ,933.15 ,923.57 ,21610.00 ,0.0040 
20050809,933.09 ,926.97 ,933.39 ,919.11 ,19530.00 ,0.0061 
20050810,940.37 ,933.26 ,940.37 ,926.27 ,21520.00 ,0.0078 
20050811,953.99 ,940.78 ,953.99 ,939.39 ,27070.00 ,0.0145 
20050812,938.32 ,954.72 ,959.27 ,933.99 ,29170.00 ,-0.0164 
20050815,954.50 ,937.71 ,954.50 ,936.11 ,20430.00 ,0.0172 
20050816,945.06 ,955.27 ,959.34 ,939.92 ,23860.00 ,-0.0099 
20050817,953.01 ,943.40 ,953.34 ,930.33 ,21460.00 ,0.0084 
20050818,920.67 ,954.15 ,956.84 ,919.12 ,31860.00 ,-0.0339 
20050819,923.04 ,918.09 ,927.32 ,910.08 ,22240.00 ,0.0026 
20050822,931.67 ,923.11 ,933.35 ,919.22 ,16030.00 ,0.0093 
20050823,923.41 ,931.81 ,931.81 ,915.03 ,15410.00 ,-0.0089 
20050824,930.65 ,923.56 ,935.23 ,923.56 ,15960.00 ,0.0078 
20050825,930.12 ,930.98 ,933.20 ,920.61 ,16290.00 ,-0.0006 
20050826,928.26 ,930.25 ,930.33 ,921.84 ,15430.00 ,-0.0020 
20050829,917.37 ,928.34 ,928.34 ,913.77 ,15460.00 ,-0.0117 
20050830,914.88 ,916.09 ,920.21 ,912.84 ,12440.00 ,-0.0027 
20050831,927.92 ,915.12 ,928.21 ,911.50 ,14620.00 ,0.0143 
20050901,944.56 ,928.52 ,944.95 ,926.06 ,22310.00 ,0.0179 
20050902,947.87 ,945.98 ,947.92 ,941.31 ,18610.00 ,0.0035 
20050905,952.72 ,949.08 ,952.99 ,944.63 ,17840.00 ,0.0051 
20050906,936.61 ,953.41 ,956.30 ,934.97 ,21220.00 ,-0.0169 
20050907,952.76 ,934.99 ,952.90 ,932.65 ,19610.00 ,0.0172 
20050908,955.28 ,954.27 ,958.87 ,947.71 ,22420.00 ,0.0026 
20050909,949.07 ,955.11 ,959.90 ,946.02 ,16220.00 ,-0.0065 
20050912,949.51 ,949.78 ,952.55 ,945.40 ,11670.00 ,0.0005 
20050913,963.77 ,949.58 ,963.92 ,948.13 ,16580.00 ,0.0150 
20050914,970.19 ,964.97 ,970.26 ,961.64 ,19960.00 ,0.0067 
20050915,969.60 ,970.58 ,970.96 ,965.66 ,16380.00 ,-0.0006 
20050916,967.50 ,969.62 ,970.37 ,964.28 ,13980.00 ,-0.0022 
20050919,971.14 ,967.44 ,971.99 ,964.26 ,14740.00 ,0.0038 
20050920,961.92 ,971.38 ,971.65 ,957.12 ,18640.00 ,-0.0095 
20050921,944.41 ,961.37 ,961.37 ,943.82 ,18540.00 ,-0.0182 
20050922,923.27 ,942.73 ,942.73 ,914.23 ,18120.00 ,-0.0224 
20050923,916.15 ,921.51 ,927.42 ,914.81 ,11550.00 ,-0.0077 
20050926,918.49 ,915.84 ,919.65 ,913.61 ,8840.00 ,0.0026 
