Ntime,Open_us,High_us,Low_us,ClosePrice,AdjClose,Volume_us,Date,Close_cn,Open_cn,High_cn,Low_cn,Volume_cn,Fluctuation
20050128,1174.069946,1177.5,1170.150024,1174.550049,1174.550049,1600600000,20050128,969.21,974.63,975.62,965.21,5750,-0.0056
20050202,1181.27002,1190.390015,1180.949951,1189.410034,1189.410034,1681980000,20050202,1006.91,956.7,1006.93,956.7,17060,0.0533
20050203,1189.410034,1195.25,1188.920044,1193.189941,1193.189941,1561740000,20050203,993.22,1005.56,1014.19,992.16,16980,-0.0136
20050204,1193.189941,1193.189941,1185.640015,1189.890015,1189.890015,1554460000,20050204,1016.86,992.25,1021.03,989.94,15740,0.0238
20050216,1206.140015,1212.439941,1205.52002,1210.119995,1210.119995,1527080000,20050216,1023.58,1023.32,1033.25,1018.49,12130,0.0066
20050217,1210.119995,1212.439941,1205.060059,1210.339966,1210.339966,1490100000,20050217,1020.61,1024.43,1024.43,1010.48,8970,-0.0029
20050218,1210.339966,1211.329956,1200.73999,1200.75,1200.75,1580120000,20050218,1006.05,1020.12,1021.2,1005.63,8140,-0.0143
20050223,1201.589966,1202.47998,1184.160034,1184.160034,1184.160034,1744940000,20050223,1043.94,1046.81,1049.61,1036.63,18700,-0.0027
20050224,1184.160034,1193.52002,1184.160034,1190.800049,1190.800049,1501090000,20050224,1045.46,1042.25,1045.96,1034.73,14680,0.0015
20050225,1190.800049,1200.420044,1187.800049,1200.199951,1200.199951,1518750000,20050225,1046.76,1046.27,1059.48,1045.98,18170,0.0012
20050302,1203.599976,1212.25,1203.599976,1210.410034,1210.410034,1708060000,20050302,1021.32,1036.37,1045.76,1021,14230,-0.0141
20050303,1210.410034,1215.790039,1204.219971,1210.079956,1210.079956,1568540000,20050303,1027.71,1019.88,1028.4,1014.75,9200,0.0063
20050304,1210.079956,1215.719971,1204.449951,1210.469971,1210.469971,1616240000,20050304,1023.67,1027.93,1031.85,1022.18,8170,-0.0039
20050308,1222.119995,1229.109985,1222.119995,1225.310059,1225.310059,1488830000,20050308,1048.99,1033.79,1049.29,1032.85,14300,0.0186
20050309,1225.310059,1225.689941,1218.569946,1219.430054,1219.430054,1523090000,20050309,1046.54,1051.26,1054.64,1041.98,15330,-0.0023
20050310,1219.430054,1219.430054,1206.660034,1207.01001,1207.01001,1704970000,20050310,1022.41,1046.69,1046.69,1019.63,13300,-0.0231
20050311,1207.01001,1211.22998,1201.410034,1209.25,1209.25,1604020000,20050311,1027.43,1021.08,1028.12,1016.93,11480,0.0049
20050315,1200.079956,1206.829956,1199.51001,1206.829956,1206.829956,1437430000,20050315,1013.52,1030.86,1030.94,1011.64,12010,-0.017
20050316,1206.829956,1210.540039,1197.75,1197.75,1197.75,1513530000,20050316,1003.07,1011.85,1012.2,995.97,10620,-0.0103
20050317,1197.75,1197.75,1185.609985,1188.069946,1188.069946,1653190000,20050317,992.86,1001.97,1004.82,992.12,9970,-0.0102
20050318,1188.069946,1193.280029,1186.339966,1190.209961,1190.209961,1581930000,20050318,978.66,991.89,996.4,975.71,9650,-0.0143
20050322,1189.650024,1189.650024,1178.819946,1183.780029,1183.780029,1819440000,20050322,964.02,981.71,982.14,959.56,11380,-0.0182
20050323,1183.780029,1189.589966,1171.630005,1171.709961,1171.709961,2114470000,20050323,959.01,962.82,975.36,955.99,10930,-0.0052
20050324,1171.709961,1176.26001,1168.699951,1172.530029,1172.530029,2246870000,20050324,964.8,957.43,965.06,948.53,9260,0.006
20050325,1172.530029,1180.109985,1171.420044,1171.420044,1171.420044,1721720000,20050325,962.96,964.25,966.97,959.06,7110,-0.0019
20050329,1171.420044,1179.910034,1171.420044,1174.280029,1174.280029,1746220000,20050329,955.19,960.42,968.12,954.74,7580,-0.0057
20050330,1174.280029,1179.390015,1163.689941,1165.359985,1165.359985,2223250000,20050330,937.03,952.71,952.71,936.38,8950,-0.019
